"taxon" "lfc_(Intercept)" "lfc_typeuntreated" "se_(Intercept)" "se_typeuntreated" "W_(Intercept)" "W_typeuntreated" "p_(Intercept)" "p_typeuntreated" "q_(Intercept)" "q_typeuntreated" "diff_(Intercept)" "diff_typeuntreated"
"147" "Rubinisphaeraceae" 0.101039210537846 0.167372158631605 0.204993653225157 0.27179477126688 0.492889457542709 0.615803452919481 0.622090696792589 0.538024248212948 1 1 FALSE FALSE
"148" "Latescibacterota" 0.370421655703637 -0.304047120408529 0.208075096753921 0.275869695563548 1.78023060655699 -1.1021403412485 0.0750382283986938 0.270400663534777 1 1 FALSE FALSE
"149" "Chlamydiales" 0.440344197716987 -0.426411568931892 0.169538312403101 0.224907984598575 2.597313795775 -1.89593788630034 0.00939560463959013 0.0579682584117905 1 1 FALSE FALSE
"150" "Cloacibacterium" 0.0463636430855893 0.263054401673054 0.171647066700998 0.227696728438011 0.270110314010508 1.15528406348916 0.787075387506237 0.247974119861016 1 1 FALSE FALSE
"151" "Lentisphaeria" 0.182154553037168 0.0254203092577913 0.234272478755725 0.31051375294165 0.777532871144884 0.0818653248591154 0.436844448711174 0.934753808606004 1 1 FALSE FALSE
"152" "Sphingobium" 0.695395871192353 -0.872751997513783 0.255807363670739 0.338992806788262 2.71843570573453 -2.57454429721546 0.00655914019224424 0.0100372232822503 1 1 FALSE FALSE
"153" "Rhodothermaceae" 0.136068826716836 0.106070330318372 0.189978211106607 0.251938279838992 0.71623385610511 0.421017125250516 0.473846961088969 0.673742576736882 1 1 FALSE FALSE
"154" "Turneriella" 0.0418956180790695 0.270873445434464 0.156128394670552 0.207173105600202 0.268340798401686 1.30747398244436 0.788437004784031 0.191051785479551 1 1 FALSE FALSE
"155" "Niveispirillum" 0.42537956275848 -0.400223457754505 0.145698016667562 0.193377061354018 2.91959748312199 -2.06965322025352 0.00350483757154947 0.0384848303959289 0.592317549591861 1 FALSE FALSE
"156" "WCHB1-41" 0.192299419592189 0.00766679278650379 0.138969251450562 0.184475649247703 1.38375516587279 0.0415599176247337 0.166433435459115 0.966849526717634 1 1 FALSE FALSE
"157" "Rickettsiaceae" 0.125794466986415 0.124050459846609 0.195473039196792 0.259204667765452 0.643538707451987 0.478581118604157 0.519874606869648 0.63223665332043 1 1 FALSE FALSE
"158" "Coxiella" 0.0205376308397186 0.308249923103328 0.243559637340286 0.322795565387193 0.0843228010354799 0.954938531245256 0.932799784354903 0.33960878286532 1 1 FALSE FALSE
"159" "Defluviicoccales" 0.040810676481766 0.272772093229745 0.202163077570745 0.268051601953605 0.201870079206153 1.0176103826343 0.8400182938291 0.308863151218273 1 1 FALSE FALSE
"160" "Flavobacterium" 0.685016027658504 -0.854587271329548 0.208636696223034 0.276612359761812 3.28329598799924 -3.08947608872367 0.00102600877563399 0.00200509845896135 0.179551535735949 0.346882033400314 FALSE FALSE
"161" "Desulfosarcina" 0.269845957031598 -0.128039647732461 0.110753219604013 0.14710899412029 2.436461513231 -0.870372668225598 0.0148317476863415 0.384096778189427 1 1 FALSE FALSE
"162" "Desulfobacteraceae" 0.238393621311266 -0.0729980602218811 0.244855377166098 0.32450912934583 0.973609908307432 -0.224949172829239 0.330250264765563 0.822018815057949 1 1 FALSE FALSE
"163" "Caenarcaniphilales" 0.0762839540892761 0.210693857416602 0.204766812959823 0.271494796243259 0.372540613328018 0.776051181577053 0.709490379440919 0.437718766577061 1 1 FALSE FALSE
"164" "Acholeplasma" 0.102404253852853 0.164983332830343 0.23184082764607 0.307298036790794 0.441700691343217 0.536883784072667 0.658705809345836 0.591347892827717 1 1 FALSE FALSE
"165" "SS1-B-02-17" 0.140393170937897 0.0985027279315149 0.25949926833409 0.343875287541936 0.541015671601622 0.286448987467593 0.588496780896693 0.774534259220465 1 1 FALSE FALSE
"166" "Spirochaetaceae" 0.127534734964726 0.121004990884565 0.22172087284419 0.293915087341413 0.575204009116219 0.411700508398894 0.565153331699327 0.680558952308992 1 1 FALSE FALSE
"167" "Lachnospiraceae" 0.165310721870837 0.0548970137988705 0.249713750552898 0.330934158773858 0.662000877023462 0.165885002630944 0.507970659623765 0.868247450135086 1 1 FALSE FALSE
"168" "Lactobacillus" 0.273285830825044 -0.134059426870992 0.163043438896737 0.216318591397924 1.67615350040628 -0.619731415615524 0.0937081296095796 0.535434629002472 1 1 FALSE FALSE
"169" "Chryseobacterium" 0.0460233162183046 0.263649973690802 0.236961196741009 0.314069436117739 0.194223007189682 0.839463963605692 0.846001268742069 0.401209003151895 1 1 FALSE FALSE
"170" "Verrucomicrobiales" 0.139831702276044 0.0994852980897583 0.183732634726111 0.243679065781389 0.76106077989079 0.408263622362247 0.446620764843049 0.683080143363297 1 1 FALSE FALSE
"171" "Woesearchaeales" 0.0477054471069009 0.260706244635759 0.295202206332152 0.391092982194874 0.161602610290874 0.666609365303962 0.871618801619899 0.505021685405154 1 1 FALSE FALSE
"172" "SUP05 cluster" 0.304689978110039 -0.189016684619733 0.201116251437879 0.266667274116049 1.51499431762307 -0.70881095269859 0.129773843147498 0.478441800028896 1 1 FALSE FALSE
"173" "SCGC AAA011-D5" 0.151453930862995 0.079146398062594 0.142698628076468 0.189409379351683 1.06135519944757 0.417858916667692 0.288528508692538 0.676050271621437 1 1 FALSE FALSE
"174" "Sediminispirochaeta" 0.518522967649626 -0.563224416314011 0.230727543176693 0.305825786436261 2.24733883311251 -1.84165116642771 0.0246183808835426 0.0655261915707629 1 1 FALSE FALSE
"175" "Candidatus Omnitrophus" 0.184676571426399 0.0210067770766362 0.227041538602564 0.300951285472673 0.813404333687483 0.0698012538595508 0.415986275474523 0.944351849178453 1 1 FALSE FALSE
"176" "Margulisbacteria" 0.0147565755985224 0.318366769775421 0.219040586691405 0.290370616560603 0.0673691383931153 1.09641524182587 0.94628783734872 0.272897096792308 1 1 FALSE FALSE
"177" "Gastranaerophilales" 0.260344519768017 -0.111412132521195 0.175680319466635 0.233030485176319 1.48192193956855 -0.478101105256237 0.138361066587115 0.632578245456901 1 1 FALSE FALSE
